---------------/api/resource---------------
Counter=1Joins=0 Response Time = 60 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 69 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 58 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 66 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 57 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 57 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 56 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 58 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 58 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 57 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 62 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 61 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 58 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 58 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 58 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 58 ms | ResponseCode : 200
--------------JOINS: 0--------------
Counter=100Joins=0 Response Time = 76 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 69 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 69 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 71 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 71 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 71 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 73 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 72 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 67 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 68 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 72 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 67 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 69 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 66 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 67 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 66 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 71 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 68 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 67 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 67 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 84 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 100 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 71 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 71 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 71 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 69 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 74 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 68 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 69 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 69 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 71 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 68 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 69 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 67 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 71 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 69 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 71 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 68 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 67 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 69 ms | ResponseCode : 200
--------------JOINS: 0--------------
Counter=1000Joins=0 Response Time = 117 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 136 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 117 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 98 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 104 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 99 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 94 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 95 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 113 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 113 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 102 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 107 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 102 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 100 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 107 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 115 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 108 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 105 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 107 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 97 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 94 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 107 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 100 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 109 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 94 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 96 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 109 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 107 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 103 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 111 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 102 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 107 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 108 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 95 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 103 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 106 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 123 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 114 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 100 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 109 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 103 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 96 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 106 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 107 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 94 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 107 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 93 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 107 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 96 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 95 ms | ResponseCode : 200
--------------JOINS: 0--------------
Counter=10000Joins=0 Response Time = 432 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 453 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 517 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 392 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 407 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 401 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 391 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 434 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 424 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 391 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 379 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 389 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 376 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 404 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 374 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 402 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 392 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 375 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 379 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 380 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 402 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 388 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 381 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 401 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 427 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 414 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 401 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 395 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 386 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 378 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 392 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 383 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 379 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 382 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 397 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 391 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 413 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 390 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 389 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 385 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 385 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 378 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 401 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 382 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 411 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 380 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 390 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 380 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 397 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 419 ms | ResponseCode : 200
--------------JOINS: 0--------------
Counter=100000Joins=0 Response Time = 3619 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2958 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2852 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2878 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2860 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2783 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2855 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2958 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 3056 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2830 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2830 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2710 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2747 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2820 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2755 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2729 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2706 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2704 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2727 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2685 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2753 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2730 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2712 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2706 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2705 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2711 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2726 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2720 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2709 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2717 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2709 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2696 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2696 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2703 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2711 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2720 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2696 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2706 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2721 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2713 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2745 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2699 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2752 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2772 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2797 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2749 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2707 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2709 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2732 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 2727 ms | ResponseCode : 200
--------------JOINS: 1--------------
Counter=1Joins=1 Response Time = 62 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 60 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 60 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 60 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 60 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 60 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 60 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 58 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 61 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 60 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 60 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 60 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 58 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 58 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 58 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 60 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 60 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 58 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 60 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 60 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 60 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 60 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 60 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 58 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 58 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 58 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 60 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 58 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 58 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 59 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 58 ms | ResponseCode : 200
--------------JOINS: 1--------------
Counter=100Joins=1 Response Time = 74 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 71 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 71 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 69 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 69 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 71 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 72 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 71 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 73 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 72 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 69 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 68 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 69 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 70 ms | ResponseCode : 200
