---------------/api/resource---------------
Counter=1Joins=0 Response Time = 132 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 113 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 122 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 120 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 110 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 108 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 108 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 109 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 108 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 108 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 109 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 109 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 108 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 108 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 108 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 110 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 109 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 108 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 109 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 109 ms | ResponseCode : 200
Counter=1Joins=0 Response Time = 110 ms | ResponseCode : 200
--------------JOINS: 0--------------
Counter=100Joins=0 Response Time = 293 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 121 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 120 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 122 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 121 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 120 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 117 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 120 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 121 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 119 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 121 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 120 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 130 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 126 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 132 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 131 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 130 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 126 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 123 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 120 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 119 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 118 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 132 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 129 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 148 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 135 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 122 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 121 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 118 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 119 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 118 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 116 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 117 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 118 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 118 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 118 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 116 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 118 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 119 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 117 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 119 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 117 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 116 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 117 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 118 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 120 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 117 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 118 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 117 ms | ResponseCode : 200
Counter=100Joins=0 Response Time = 120 ms | ResponseCode : 200
--------------JOINS: 0--------------
Counter=1000Joins=0 Response Time = 249 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 142 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 142 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 124 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 132 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 140 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 124 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 125 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 129 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 139 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 127 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 131 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 152 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 149 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 139 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 160 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 149 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 140 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 122 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 132 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 127 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 136 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 126 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 135 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 129 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 137 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 123 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 140 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 135 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 127 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 129 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 137 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 137 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 137 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 137 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 130 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 416 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 137 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 129 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 130 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 136 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 138 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 128 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 135 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 124 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 128 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 136 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 130 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 138 ms | ResponseCode : 200
Counter=1000Joins=0 Response Time = 137 ms | ResponseCode : 200
--------------JOINS: 0--------------
Counter=10000Joins=0 Response Time = 403 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 265 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 268 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 266 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 265 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 264 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 266 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 288 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 279 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 268 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 283 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 281 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 286 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 310 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 276 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 260 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 269 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 265 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 267 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 278 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 272 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 268 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 271 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 267 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 278 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 277 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 280 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 275 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 281 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 284 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 278 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 272 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 270 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 259 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 270 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 265 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 270 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 279 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 280 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 277 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 266 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 287 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 745 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 145 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 376 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 313 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 280 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 250 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 254 ms | ResponseCode : 200
Counter=10000Joins=0 Response Time = 264 ms | ResponseCode : 200
--------------JOINS: 0--------------
